net,length_um
clknet_0_clk,263.5
net3,187.52
net7,185.04
net15,152.94
net23,139.88
net27,135.4
_0131_,131.64
net16,128.04
_0069_,127.38
net22,123.63
net2,123.56
net20,118.22
clk,109.43
_0099_,108.425
net30,108.05
_0090_,107.78
clknet_3_4__leaf_clk,107.14
net32,106.17
net19,102.53
net18,102.16
_0066_,101.84
net1,100.84
net14,98.85
net17,98.36
net4,98.08
clknet_3_6__leaf_clk,97.42
clknet_3_0__leaf_clk,95.7
_0064_,92.52
_0100_,90.78
net31,89.57
_0156_,88.885
_0081_,87.19
net35,87.04
clknet_3_2__leaf_clk,81.96
clknet_3_3__leaf_clk,79.84
_0685_,79.29
clknet_3_5__leaf_clk,79.18
_0103_,78.32
_0244_,76.56
clknet_3_7__leaf_clk,76.48
net28,76.17
_0523_,75.62
clknet_3_1__leaf_clk,74.94
net33,73.96
net26,72.45
_0172_,71.12
_0167_,70.82
_0093_,68.82
_0173_,68.115
_0063_,67.34
_0192_,67.28
_0268_,65.02
_0096_,64.74
_0134_,63.76
net5,62.32
net10,60.84
net9,56.48
_0201_,55.52
_0258_,54.655
_0413_,53.26
_0084_,50.79
u_glitch.sig_in,50.3
_0151_,49.6
net47,48.12
_0178_,47.39
_0289_,47.065
_0547_,45.58
_0142_,45.48
net12,43.08
_0632_,42.16
u_glitch.cnt\[0\],41.92
_0422_,41.63
_0229_,41.42
_0152_,40.52
_0291_,40.26
_0175_,39.74
_0260_,39.09
_0502_,39.05
_0076_,38.86
_0679_,38.66
u_window.window_reg\[37\],37.84
_0240_,37.74
net34,37.67
_0072_,37.64
_0673_,37.4
_0546_,37.22
_0246_,36.92
_0174_,36.74
_0202_,36.7
_0636_,36.52
net29,36.45
_0079_,36.3
_0166_,36.14
_0075_,36.12
_0300_,35.88
u_window.window_reg\[7\],35.4
net50,34.86
_0545_,34.46
_0062_,34.36
_0661_,34.04
_0224_,33.875
_0375_,33.82
_0371_,33.56
_0664_,33.56
_0265_,33.28
_0683_,33.12
_0119_,33.01
_0511_,32.8
_0596_,32.64
u_window.window_reg\[0\],32.62
_0211_,32.51
_0070_,32.46
_0604_,32.32
_0424_,32.2
_0195_,32.14
_0301_,32
net60,31.92
_0065_,31.79
_0205_,31.4
_0461_,30.9
_0120_,30.82
_0251_,30.52
_0163_,30.37
_0622_,30
_0507_,29.54
_0085_,29.4
_0184_,29.38
_0392_,29.24
_0650_,29.18
_0061_,29.06
fault_detected,28.59
_0606_,28.58
_0398_,28.24
_0525_,28.14
net130,27.96
u_glitch.cnt\[3\],27.88
_0610_,27.84
_0250_,27.8
_0158_,27.76
_0427_,27.74
_0654_,27.72
_0218_,27.7
_0456_,27.6
_0261_,27.58
_0128_,27.56
_0187_,27.44
net8,26.96
_0141_,26.92
_0529_,26.53
_0567_,26.46
_0616_,26.46
_0624_,26.39
_0263_,26.38
_0349_,26.3
_0613_,26.22
_0631_,26.2
net121,26.185
_0586_,25.84
_0598_,25.84
_0303_,25.83
_0193_,25.82
_0043_,25.78
_0462_,25.6
u_window.window_reg\[43\],25.52
_0522_,25.5
_0138_,25.45
_0544_,25.32
_0219_,25.26
_0394_,25.08
_0519_,25.02
_0365_,25
_0257_,24.74
_0361_,24.58
_0451_,24.38
_0274_,24.35
_0010_,24.22
_0344_,24.2
_0311_,23.92
_0241_,23.9
_0011_,23.8
_0143_,23.79
_0363_,23.76
_0101_,23.48
_0253_,23.48
WINDOW_SIZE[1],23.43
_0615_,23.24
_0540_,23.215
_0296_,23.16
_0373_,23.13
_0243_,23.1
_0198_,23
_0483_,22.975
u_window.window_reg\[48\],22.96
_0675_,22.94
_0188_,22.84
_0171_,22.78
_0304_,22.68
u_window.window_reg\[59\],22.68
u_window.window_reg\[14\],22.66
_0489_,22.54
_0599_,22.54
_0212_,22.52
_0110_,22.5
u_window.window_reg\[2\],22.46
_0530_,22.315
u_glitch.cnt\[2\],22.3
_0336_,22.26
_0348_,22.22
_0177_,22.2
_0067_,22.12
_0284_,22.04
_0024_,21.995
_0276_,21.98
_0147_,21.96
_0305_,21.9
_0222_,21.8
_0153_,21.78
_0346_,21.78
_0013_,21.52
_0660_,21.48
_0052_,21.44
_0040_,21.4
_0107_,21.355
_0411_,21.34
_0643_,21.3
_0281_,21.28
u_window.window_reg\[25\],21.2
u_window.window_reg\[22\],21.16
_0407_,21.12
_0197_,20.96
u_window.window_reg\[50\],20.91
_0220_,20.86
_0415_,20.8
_0294_,20.76
_0433_,20.7
u_window.window_reg\[10\],20.58
u_window.window_reg\[5\],20.56
_0647_,20.54
_0135_,20.52
u_window.window_reg\[34\],20.52
_0028_,20.46
net122,20.38
_0471_,20.35
_0155_,20.33
_0272_,20.3
_0320_,20.28
_0133_,20.22
u_window.window_reg\[46\],20.2
_0402_,20.14
_0475_,20.12
_0626_,20.12
_0323_,20.02
_0443_,19.98
_0286_,19.86
u_window.window_reg\[28\],19.78
_0012_,19.62
_0527_,19.56
_0690_,19.56
_0292_,19.5
_0469_,19.46
_0589_,19.3
_0380_,19.26
_0605_,19.26
_0607_,19.16
_0232_,19.12
_0270_,19.08
net118,18.96
_0255_,18.94
_0505_,18.875
_0638_,18.86
_0445_,18.78
u_window.window_reg\[61\],18.69
_0513_,18.48
_0077_,18.44
u_window.window_reg\[18\],18.32
_0409_,18.3
u_window.window_reg\[1\],18.29
_0280_,18.26
THRESHOLD[0],18.24
_0078_,18.2
_0082_,18.2
_0249_,18.18
_0619_,18.02
_0396_,17.86
_0448_,17.78
_0235_,17.62
_0315_,17.56
_0384_,17.5
_0126_,17.46
_0217_,17.46
_0458_,17.4
_0521_,17.4
_0418_,17.32
_0465_,17.3
u_window.window_reg\[54\],17.3
_0307_,17.22
_0310_,17.22
_0359_,17.22
_0509_,17.19
_0518_,17.18
_0014_,17.16
_0092_,17.16
_0382_,17.155
_0148_,17.12
_0653_,17.12
_0377_,17.1
_0324_,17.09
_0146_,17.02
_0497_,16.82
_0356_,16.78
_0628_,16.78
_0230_,16.76
u_window.window_reg\[23\],16.74
_0094_,16.7
_0358_,16.6
_0209_,16.58
u_window.window_reg\[36\],16.56
_0282_,16.52
_0590_,16.52
u_window.window_reg\[39\],16.52
_0200_,16.36
_0474_,16.22
_0032_,16.215
net61,16.18
_0557_,16.16
_0316_,16.1
_0074_,16.02
_0400_,16.02
_0503_,15.98
_0376_,15.96
_0214_,15.9
_0646_,15.9
_0601_,15.88
_0132_,15.83
_0245_,15.6
_0354_,15.6
_0308_,15.58
_0350_,15.56
_0689_,15.38
_0652_,15.36
u_window.window_reg\[15\],15.32
_0665_,15.3
_0332_,15.28
_0499_,15.2
_0432_,15.19
_0495_,15.18
_0625_,15.18
THRESHOLD[5],15.16
_0541_,15.16
_0430_,15.12
_0419_,15.08
_0584_,15.06
_0144_,15.02
_0560_,15.02
_0130_,14.98
u_glitch.cnt\[4\],14.975
_0108_,14.96
net75,14.92
u_window.window_reg\[29\],14.88
_0520_,14.86
_0464_,14.78
_0314_,14.76
_0191_,14.74
_0342_,14.72
_0353_,14.7
_0256_,14.69
_0098_,14.675
_0042_,14.66
_0279_,14.64
_0021_,14.62
_0490_,14.6
_0104_,14.57
u_window.window_reg\[4\],14.56
_0312_,14.5
_0395_,14.46
net107,14.46
_0164_,14.44
_0550_,14.44
_0206_,14.42
_0663_,14.42
_0267_,14.38
_0621_,14.26
_0271_,14.22
_0017_,14.21
_0203_,14.18
_0225_,14.08
_0330_,14.06
_0367_,14.06
_0681_,14
net74,14
_0390_,13.98
_0635_,13.94
_0288_,13.92
_0370_,13.8
_0295_,13.76
_0227_,13.75
u_window.window_reg\[32\],13.72
_0623_,13.6
_0123_,13.58
net125,13.54
_0199_,13.49
_0140_,13.48
u_window.window_reg\[58\],13.48
net40,13.48
net48,13.46
_0472_,13.44
_0593_,13.4
_0667_,13.38
u_window.window_reg\[3\],13.38
_0208_,13.36
u_window.window_reg\[41\],13.3
